id,nama,namaKab,namaPartai,noUrut,originalFilename,stringJenisKelamin,dapil_id
21661,"NURCHALIS, SP., MSi.",KOTA BANDA ACEH,PARTAI BERKARYA,1,NurChalis.JPG,Laki-Laki,1
24813,H. KARIMUN USMAN,JAKARTA BARAT,PARTAI DEMOKRASI INDONESIA PERJUANGAN,1,KARIMUN USMAN.jpg,Laki-Laki,1
28568,"H. IRMAWAN, S.Sos, MM",KOTA BANDA ACEH,Partai Kebangkitan Bangsa,1,E_FOTO WARNA_IRMAWAN_ACEH 1.jpg,Laki-Laki,1
28917,"H. MUSLIM AYUB, S.H., M.M.",KOTA BANDA ACEH,PARTAI AMANAT NASIONAL,1,FOTO MUSLIM AYUB BERJAS PAN.jpeg,Laki-Laki,1
35810,Dr. (H.C.) Tgk. MUHAMMAD YUS,KOTA BANDA ACEH,Partai Bulan Bintang,1,MUHAMMAD YUS.jpg,Laki-Laki,1
37366,"DRS. H ANHARUDDIN, SE, MM",KOTA SUBULUSSALAM,Partai Solidaritas Indonesia,1,PAS FOTO.JPG,Laki-Laki,1
74044,"FADHLULLAH, SE",PIDIE,PARTAI GERAKAN INDONESIA RAYA,1,WhatsApp Image 2018-07-31 at 13.30.59.jpeg,Laki-Laki,1
91579,GHUFRAN,KOTA BANDA ACEH,Partai Keadilan Sejahtera,1,GHUFRON ACEH 1.jpg,Laki-Laki,1
92359,"HAMDANI HAMID, S.P",KOTA BANDA ACEH,Persatuan Indonesia,1,HAMDANI ACEH.jpg,Laki-Laki,1
105528,"H ZAINI DJALIL, SH",KOTA BANDA ACEH,Partai NasDem,1,zaini.jpg,Laki-Laki,1
136798,AMRI M ALI,KOTA BANDA ACEH,Partai Persatuan pembangunan,1,FHOTO.amri ali.jpg,Laki-Laki,1
139177,H. TEUKU RIEFKY HARSYA,JAKARTA SELATAN,PARTAI DEMOKRAT,1,01-H. TEUKU RIEFKY HARSYA.jpg,Laki-Laki,1
178603,ANDI HS,JAKARTA TIMUR,Partai Golongan Karya,1,ANDI SINULINGGA 31750260780069_PASPOTO.jpg,Laki-Laki,1
179091,"IBNU RUSDI, S.E",KOTA BANDA ACEH,Partai Hati Nurani Rakyat,1,IBNU RUSDI. SE.PNG,Laki-Laki,1
243450,"ARIZAN, S.H.",ACEH SELATAN,Partai Keadilan dan Persatuan Indonesia,1,FOTO.jpg,Laki-Laki,1
245117,FACHRUDDIN N,KOTA DEPOK,Partai Gerakan Perubahan Indonesia,1,FOTO FACHRUDIN.png,Laki-Laki,1
23123,SAYED MUSTAFA USAB AL IDROES,NAGAN RAYA,Partai Kebangkitan Bangsa,2,E_FOTO WARNA_SAYED MUSTAFA USAB AL IDROES_ACEH 1 (5).jpg,Laki-Laki,1
30195,"MOHD ALFATAH, S.Ag",NAGAN RAYA,PARTAI AMANAT NASIONAL,2,FOTO 4R.jpg,Laki-Laki,1
100805,YAZIR AKRAMULLAH,KOTA BANDA ACEH,Partai Solidaritas Indonesia,2,FOTO.jpeg,Laki-Laki,1
112211,"Dr. ASFIFUDDIN, SH, MH",JAKARTA BARAT,PARTAI GERAKAN INDONESIA RAYA,2,WhatsApp Image 2018-07-31 at 13.30.35.jpeg,Laki-Laki,1
115841,DJUNAIDI,KOTA SUBULUSSALAM,Partai Gerakan Perubahan Indonesia,2,3758_060618_214020.jpeg,Laki-Laki,1
123505,"TGK. ANWAR, S.PD., MM",PIDIE,Partai NasDem,2,12. Foto.jpg,Laki-Laki,1
135877,"T ZULFIKAR THAIB ALY, SH",JAKARTA SELATAN,Partai Persatuan pembangunan,2,Fhoto.jpg,Laki-Laki,1
