domainName,idKab,idParent,idPro,idWilayah,kodeKab,kodeKec,kodeKel,kodePro,namaKab,namaPro,namaWilayah,tingkatWilayah
acehselatankab,2,1,1,2,1101,110100,1101000000,11,ACEH SELATAN,ACEH,ACEH SELATAN,2
acehtenggarakab,269,1,1,269,1102,110200,1102000000,11,ACEH TENGGARA,ACEH,ACEH TENGGARA,2
acehtimurkab,671,1,1,671,1103,110300,1103000000,11,ACEH TIMUR,ACEH,ACEH TIMUR,2
acehtengahkab,1207,1,1,1207,1104,110400,1104000000,11,ACEH TENGAH,ACEH,ACEH TENGAH,2
acehbaratkab,1492,1,1,1492,1105,110500,1105000000,11,ACEH BARAT,ACEH,ACEH BARAT,2
acehbesarkab,1824,1,1,1824,1106,110600,1106000000,11,ACEH BESAR,ACEH,ACEH BESAR,2
pidiekab,2452,1,1,2452,1107,110700,1107000000,11,PIDIE,ACEH,PIDIE,2
acehutarakab,3205,1,1,3205,1108,110800,1108000000,11,ACEH UTARA,ACEH,ACEH UTARA,2
simeuluekab,4086,1,1,4086,1109,110900,1109000000,11,SIMEULUE,ACEH,SIMEULUE,2
acehsingkilkab,4233,1,1,4233,1110,111000,1110000000,11,ACEH SINGKIL,ACEH,ACEH SINGKIL,2
bireuenkab,4362,1,1,4362,1111,111100,1111000000,11,BIREUEN,ACEH,BIREUEN,2
acehbaratdayakab,4989,1,1,4989,1112,111200,1112000000,11,ACEH BARAT DAYA,ACEH,ACEH BARAT DAYA,2
gayolueskab,5138,1,1,5138,1113,111300,1113000000,11,GAYO LUES,ACEH,GAYO LUES,2
acehjayakab,5286,1,1,5286,1114,111400,1114000000,11,ACEH JAYA,ACEH,ACEH JAYA,2
naganrayakab,5463,1,1,5463,1115,111500,1115000000,11,NAGAN RAYA,ACEH,NAGAN RAYA,2
acehtamiangkab,5694,1,1,5694,1116,111600,1116000000,11,ACEH TAMIANG,ACEH,ACEH TAMIANG,2
benermeriahkab,5920,1,1,5920,1117,111700,1117000000,11,BENER MERIAH,ACEH,BENER MERIAH,2
pidiejayakab,6166,1,1,6166,1118,111800,1118000000,11,PIDIE JAYA,ACEH,PIDIE JAYA,2
bandaacehkota,6397,1,1,6397,1171,117100,1171000000,11,KOTA BANDA ACEH,ACEH,KOTA BANDA ACEH,2
sabangkota,6497,1,1,6497,1172,117200,1172000000,11,KOTA SABANG,ACEH,KOTA SABANG,2
lhokseumawekota,6518,1,1,6518,1173,117300,1173000000,11,KOTA LHOKSEUMAWE,ACEH,KOTA LHOKSEUMAWE,2
langsakota,6591,1,1,6591,1174,117400,1174000000,11,KOTA LANGSA,ACEH,KOTA LANGSA,2
subulussalamkota,6648,1,1,6648,1175,117500,1175000000,11,KOTA SUBULUSSALAM,ACEH,KOTA SUBULUSSALAM,2
labuanbatuselatankab,6729,6728,6728,6729,1222,122200,1222000000,12,LABUHANBATU SELATAN,SUMATERA UTARA,LABUHANBATU SELATAN,2
labuanbatuutarakab,6789,6728,6728,6789,1223,122300,1223000000,12,LABUHANBATU UTARA,SUMATERA UTARA,LABUHANBATU UTARA,2
niasutarakab,6888,6728,6728,6888,1224,122400,1224000000,12,NIAS UTARA,SUMATERA UTARA,NIAS UTARA,2
niasbaratkab,7013,6728,6728,7013,1225,122500,1225000000,12,NIAS BARAT,SUMATERA UTARA,NIAS BARAT,2
gunungsitolikota,7132,6728,6728,7132,1278,127800,1278000000,12,KOTA GUNUNGSITOLI,SUMATERA UTARA,KOTA GUNUNGSITOLI,2
tapanulitengahkab,7240,6728,6728,7240,1201,120100,1201000000,12,TAPANULI TENGAH,SUMATERA UTARA,TAPANULI TENGAH,2
tapanuliutarakab,7438,6728,6728,7438,1202,120200,1202000000,12,TAPANULI UTARA,SUMATERA UTARA,TAPANULI UTARA,2
tapanuliselatankab,7697,6728,6728,7697,1203,120300,1203000000,12,TAPANULI SELATAN,SUMATERA UTARA,TAPANULI SELATAN,2
niaskab,7960,6728,6728,7960,1204,120400,1204000000,12,NIAS,SUMATERA UTARA,NIAS,2
langkatkab,8094,6728,6728,8094,1205,120500,1205000000,12,LANGKAT,SUMATERA UTARA,LANGKAT,2
karokab,8408,6728,6728,8408,1206,120600,1206000000,12,KARO,SUMATERA UTARA,KARO,2
deliserdangkab,8688,6728,6728,8688,1207,120700,1207000000,12,DELI SERDANG,SUMATERA UTARA,DELI SERDANG,2
simalungunkab,9114,6728,6728,9114,1208,120800,1208000000,12,SIMALUNGUN,SUMATERA UTARA,SIMALUNGUN,2
asahankab,9497,6728,6728,9497,1209,120900,1209000000,12,ASAHAN,SUMATERA UTARA,ASAHAN,2
labuhanbatukab,9727,6728,6728,9727,1210,121000,1210000000,12,LABUHANBATU,SUMATERA UTARA,LABUHANBATU,2
dairikab,9835,6728,6728,9835,1211,121100,1211000000,12,DAIRI,SUMATERA UTARA,DAIRI,2
tobasamosirkab,10020,6728,6728,10020,1212,121200,1212000000,12,TOBA SAMOSIR,SUMATERA UTARA,TOBA SAMOSIR,2
mandailingnatalkab,10227,6728,6728,10227,1213,121300,1213000000,12,MANDAILING NATAL,SUMATERA UTARA,MANDAILING NATAL,2
niasselatankab,10646,6728,6728,10646,1214,121400,1214000000,12,NIAS SELATAN,SUMATERA UTARA,NIAS SELATAN,2
pakpakbharatkab,11022,6728,6728,11022,1215,121500,1215000000,12,PAKPAK BHARAT,SUMATERA UTARA,PAKPAK BHARAT,2
humbanghasundutankab,11083,6728,6728,11083,1216,121600,1216000000,12,HUMBANG HASUNDUTAN,SUMATERA UTARA,HUMBANG HASUNDUTAN,2
samosirkab,11247,6728,6728,11247,1217,121700,1217000000,12,SAMOSIR,SUMATERA UTARA,SAMOSIR,2
serdangbedagaikab,11374,6728,6728,11374,1218,121800,1218000000,12,SERDANG BEDAGAI,SUMATERA UTARA,SERDANG BEDAGAI,2
batubarakab,11635,6728,6728,11635,1219,121900,1219000000,12,BATU BARA,SUMATERA UTARA,BATU BARA,2
medankota,11743,6728,6728,11743,1271,127100,1271000000,12,KOTA MEDAN,SUMATERA UTARA,KOTA MEDAN,2
pematangsiantarkota,11916,6728,6728,11916,1272,127200,1272000000,12,KOTA PEMATANGSIANTAR,SUMATERA UTARA,KOTA PEMATANGSIANTAR,2
sibolgakota,11978,6728,6728,11978,1273,127300,1273000000,12,KOTA SIBOLGA,SUMATERA UTARA,KOTA SIBOLGA,2
tanjungbalaikota,12000,6728,6728,12000,1274,127400,1274000000,12,KOTA TANJUNG BALAI,SUMATERA UTARA,KOTA TANJUNG BALAI,2
binjaikota,12038,6728,6728,12038,1275,127500,1275000000,12,KOTA BINJAI,SUMATERA UTARA,KOTA BINJAI,2
tebingtinggikota,12081,6728,6728,12081,1276,127600,1276000000,12,KOTA TEBING TINGGI,SUMATERA UTARA,KOTA TEBING TINGGI,2
padangsidempuankota,12122,6728,6728,12122,1277,127700,1277000000,12,KOTA PADANG SIDIMPUAN,SUMATERA UTARA,KOTA PADANG SIDIMPUAN,2
padanglawasutarakab,12208,6728,6728,12208,1220,122000,1220000000,12,PADANG LAWAS UTARA,SUMATERA UTARA,PADANG LAWAS UTARA,2
padanglawaskab,12606,6728,6728,12606,1221,122100,1221000000,12,PADANG LAWAS,SUMATERA UTARA,PADANG LAWAS,2
pasamankab,13509,12920,12920,13509,1308,130800,1308000000,13,PASAMAN,SUMATERA BARAT,PASAMAN,2
pesisirselatankab,12921,12920,12920,12921,1301,130100,1301000000,13,PESISIR SELATAN,SUMATERA BARAT,PESISIR SELATAN,2
solokkab,13010,12920,12920,13010,1302,130200,1302000000,13,SOLOK,SUMATERA BARAT,SOLOK,2
sijunjungkab,13099,12920,12920,13099,1303,130300,1303000000,13,SIJUNJUNG,SUMATERA BARAT,SIJUNJUNG,2
tanahdatarkab,13163,12920,12920,13163,1304,130400,1304000000,13,TANAH DATAR,SUMATERA BARAT,TANAH DATAR,2
padangpariamankab,13253,12920,12920,13253,1305,130500,1305000000,13,PADANG PARIAMAN,SUMATERA BARAT,PADANG PARIAMAN,2
agamkab,13317,12920,12920,13317,1306,130600,1306000000,13,AGAM,SUMATERA BARAT,AGAM,2
limapuluhkotakab,13416,12920,12920,13416,1307,130700,1307000000,13,LIMA PULUH KOTA,SUMATERA BARAT,LIMA PULUH KOTA,2
kepmentawaikab,13554,12920,12920,13554,1309,130900,1309000000,13,KEPULAUAN MENTAWAI,SUMATERA BARAT,KEPULAUAN MENTAWAI,2
dharmasrayakab,13608,12920,12920,13608,1310,131000,1310000000,13,DHARMASRAYA,SUMATERA BARAT,DHARMASRAYA,2
solokselatankab,13634,12920,12920,13634,1311,131100,1311000000,13,SOLOK SELATAN,SUMATERA BARAT,SOLOK SELATAN,2
pasamanbaratkab,13681,12920,12920,13681,1312,131200,1312000000,13,PASAMAN BARAT,SUMATERA BARAT,PASAMAN BARAT,2
padangkota,13712,12920,12920,13712,1371,137100,1371000000,13,KOTA PADANG,SUMATERA BARAT,KOTA PADANG,2
solokkota,13828,12920,12920,13828,1372,137200,1372000000,13,KOTA SOLOK,SUMATERA BARAT,KOTA SOLOK,2
sawahluntokota,13844,12920,12920,13844,1373,137300,1373000000,13,KOTA SAWAHLUNTO,SUMATERA BARAT,KOTA SAWAHLUNTO,2
padangpanjangkota,13886,12920,12920,13886,1374,137400,1374000000,13,KOTA PADANG PANJANG,SUMATERA BARAT,KOTA PADANG PANJANG,2
bukittinggikota,13905,12920,12920,13905,1375,137500,1375000000,13,KOTA BUKITTINGGI,SUMATERA BARAT,KOTA BUKITTINGGI,2
payakumbuhkota,13933,12920,12920,13933,1376,137600,1376000000,13,KOTA PAYAKUMBUH,SUMATERA BARAT,KOTA PAYAKUMBUH,2
pariamankota,14010,12920,12920,14010,1377,137700,1377000000,13,KOTA PARIAMAN,SUMATERA BARAT,KOTA PARIAMAN,2
merantikab,14087,14086,14086,14087,1410,141000,1410000000,14,KEPULAUAN MERANTI,RIAU,KEPULAUAN MERANTI,2
kamparkab,14166,14086,14086,14166,1401,140100,1401000000,14,KAMPAR,RIAU,KAMPAR,2
indragirihulukab,14414,14086,14086,14414,1402,140200,1402000000,14,INDRAGIRI HULU,RIAU,INDRAGIRI HULU,2
bengkaliskab,14630,14086,14086,14630,1403,140300,1403000000,14,BENGKALIS,RIAU,BENGKALIS,2
indragirihilirkab,14741,14086,14086,14741,1404,140400,1404000000,14,INDRAGIRI HILIR,RIAU,INDRAGIRI HILIR,2
pelalawankab,14955,14086,14086,14955,1405,140500,1405000000,14,PELALAWAN,RIAU,PELALAWAN,2
rokanhulukab,15087,14086,14086,15087,1406,140600,1406000000,14,ROKAN HULU,RIAU,ROKAN HULU,2
rokanhilirkab,15254,14086,14086,15254,1407,140700,1407000000,14,ROKAN HILIR,RIAU,ROKAN HILIR,2
siakkab,15412,14086,14086,15412,1408,140800,1408000000,14,SIAK,RIAU,SIAK,2
kuantansingingikab,15553,14086,14086,15553,1409,140900,1409000000,14,KUANTAN SINGINGI,RIAU,KUANTAN SINGINGI,2
pekanbarukota,15775,14086,14086,15775,1471,147100,1471000000,14,KOTA PEKANBARU,RIAU,KOTA PEKANBARU,2
dumaikota,15846,14086,14086,15846,1472,147200,1472000000,14,KOTA DUMAI,RIAU,KOTA DUMAI,2
sungaipenuhkota,15886,15885,15885,15886,1572,157200,1572000000,15,KOTA SUNGAI PENUH,JAMBI,KOTA SUNGAI PENUH,2
kerincikab,15961,15885,15885,15961,1501,150100,1501000000,15,KERINCI,JAMBI,KERINCI,2
meranginkab,16183,15885,15885,16183,1502,150200,1502000000,15,MERANGIN,JAMBI,MERANGIN,2
sarolangunkab,16420,15885,15885,16420,1503,150300,1503000000,15,SAROLANGUN,JAMBI,SAROLANGUN,2
batangharikab,16576,15885,15885,16576,1504,150400,1504000000,15,BATANGHARI,JAMBI,BATANGHARI,2
muarojambikab,16699,15885,15885,16699,1505,150500,1505000000,15,MUARO JAMBI,JAMBI,MUARO JAMBI,2
tanjabbarkab,16862,15885,15885,16862,1506,150600,1506000000,15,TANJUNG JABUNG BARAT,JAMBI,TANJUNG JABUNG BARAT,2
tanjabtimkab,16946,15885,15885,16946,1507,150700,1507000000,15,TANJUNG JABUNG TIMUR,JAMBI,TANJUNG JABUNG TIMUR,2
bungokab,17051,15885,15885,17051,1508,150800,1508000000,15,BUNGO,JAMBI,BUNGO,2
tebokab,17215,15885,15885,17215,1509,150900,1509000000,15,TEBO,JAMBI,TEBO,2
jambikota,17333,15885,15885,17333,1571,157100,1571000000,15,KOTA JAMBI,JAMBI,KOTA JAMBI,2
okukab,17405,17404,17404,17405,1601,160100,1601000000,16,OGAN KOMERING ULU,SUMATERA SELATAN,OGAN KOMERING ULU,2
okikab,17570,17404,17404,17570,1602,160200,1602000000,16,OGAN KOMERING ILIR,SUMATERA SELATAN,OGAN KOMERING ILIR,2
muaraenimkab,17895,17404,17404,17895,1603,160300,1603000000,16,MUARA ENIM,SUMATERA SELATAN,MUARA ENIM,2
lahatkab,18244,17404,17404,18244,1604,160400,1604000000,16,LAHAT,SUMATERA SELATAN,LAHAT,2
