dapil_id,nama_dapil,kode_kabkota,nama_kabkota,id_provinsi,nama_provinsi
2724,ACEH SELATAN 1,2,ACEH SELATAN,1,ACEH
2725,ACEH SELATAN 2,2,ACEH SELATAN,1,ACEH
2726,ACEH SELATAN 3,2,ACEH SELATAN,1,ACEH
2727,ACEH SELATAN 4,2,ACEH SELATAN,1,ACEH
2728,ACEH SELATAN 5,2,ACEH SELATAN,1,ACEH
1951,ACEH TENGGARA 1,269,ACEH TENGGARA,1,ACEH
1952,ACEH TENGGARA 2,269,ACEH TENGGARA,1,ACEH
1953,ACEH TENGGARA 3,269,ACEH TENGGARA,1,ACEH
1954,ACEH TENGGARA 4,269,ACEH TENGGARA,1,ACEH
1955,ACEH TENGGARA 5,269,ACEH TENGGARA,1,ACEH
5560,ACEH TIMUR 1,671,ACEH TIMUR,1,ACEH
5561,ACEH TIMUR 2,671,ACEH TIMUR,1,ACEH
5562,ACEH TIMUR 3,671,ACEH TIMUR,1,ACEH
5563,ACEH TIMUR 4,671,ACEH TIMUR,1,ACEH
5564,ACEH TIMUR 5,671,ACEH TIMUR,1,ACEH
2746,ACEH TENGAH 1,1207,ACEH TENGAH,1,ACEH
2747,ACEH TENGAH 2,1207,ACEH TENGAH,1,ACEH
2748,ACEH TENGAH 3,1207,ACEH TENGAH,1,ACEH
2749,ACEH TENGAH 4,1207,ACEH TENGAH,1,ACEH
2674,ACEH BARAT 1,1492,ACEH BARAT,1,ACEH
2675,ACEH BARAT 2,1492,ACEH BARAT,1,ACEH
2676,ACEH BARAT 3,1492,ACEH BARAT,1,ACEH
2677,ACEH BARAT 4,1492,ACEH BARAT,1,ACEH
2678,ACEH BARAT 5,1492,ACEH BARAT,1,ACEH
5565,ACEH BESAR 1,1824,ACEH BESAR,1,ACEH
5566,ACEH BESAR 2,1824,ACEH BESAR,1,ACEH
5567,ACEH BESAR 3,1824,ACEH BESAR,1,ACEH
5568,ACEH BESAR 4,1824,ACEH BESAR,1,ACEH
5569,ACEH BESAR 5,1824,ACEH BESAR,1,ACEH
2922,PIDIE 1,2452,PIDIE,1,ACEH
2923,PIDIE 2,2452,PIDIE,1,ACEH
2924,PIDIE 3,2452,PIDIE,1,ACEH
2925,PIDIE 4,2452,PIDIE,1,ACEH
2926,PIDIE 5,2452,PIDIE,1,ACEH
5570,ACEH UTARA 1,3205,ACEH UTARA,1,ACEH
5571,ACEH UTARA 2,3205,ACEH UTARA,1,ACEH
5572,ACEH UTARA 3,3205,ACEH UTARA,1,ACEH
5573,ACEH UTARA 4,3205,ACEH UTARA,1,ACEH
5574,ACEH UTARA 5,3205,ACEH UTARA,1,ACEH
5575,ACEH UTARA 6,3205,ACEH UTARA,1,ACEH
5576,SIMEULUE 1,4086,SIMEULUE,1,ACEH
5577,SIMEULUE 2,4086,SIMEULUE,1,ACEH
5578,SIMEULUE 3,4086,SIMEULUE,1,ACEH
