dapil_id,nama_dapil,id_provinsi,nama_provinsi
81,ACEH 1,1,ACEH
82,ACEH 2,1,ACEH
83,ACEH 3,1,ACEH
84,ACEH 4,1,ACEH
85,ACEH 5,1,ACEH
86,ACEH 6,1,ACEH
87,ACEH 7,1,ACEH
88,ACEH 8,1,ACEH
89,ACEH 9,1,ACEH
90,ACEH 10,1,ACEH
91,SUMATERA UTARA  1,6728,SUMATERA UTARA
92,SUMATERA UTARA  2,6728,SUMATERA UTARA
93,SUMATERA UTARA  3,6728,SUMATERA UTARA
94,SUMATERA UTARA  4,6728,SUMATERA UTARA
95,SUMATERA UTARA  5,6728,SUMATERA UTARA
96,SUMATERA UTARA  6,6728,SUMATERA UTARA
97,SUMATERA UTARA  7,6728,SUMATERA UTARA
98,SUMATERA UTARA  8,6728,SUMATERA UTARA
99,SUMATERA UTARA  9,6728,SUMATERA UTARA
100,SUMATERA UTARA  10,6728,SUMATERA UTARA
101,SUMATERA UTARA  11,6728,SUMATERA UTARA
102,SUMATERA UTARA  12,6728,SUMATERA UTARA
103,SUMATERA BARAT  1,12920,SUMATERA BARAT
104,SUMATERA BARAT  2,12920,SUMATERA BARAT
105,SUMATERA BARAT  3,12920,SUMATERA BARAT
106,SUMATERA BARAT  4,12920,SUMATERA BARAT
107,SUMATERA BARAT  5,12920,SUMATERA BARAT
108,SUMATERA BARAT  6,12920,SUMATERA BARAT
109,SUMATERA BARAT  7,12920,SUMATERA BARAT
110,SUMATERA BARAT  8,12920,SUMATERA BARAT
111,RIAU  1,14086,RIAU
112,RIAU  2,14086,RIAU
113,RIAU  3,14086,RIAU
114,RIAU  4,14086,RIAU
115,RIAU  5,14086,RIAU
116,RIAU  6,14086,RIAU
117,RIAU  7,14086,RIAU
118,RIAU  8,14086,RIAU
119,JAMBI  1,15885,JAMBI
120,JAMBI  2,15885,JAMBI
121,JAMBI  3,15885,JAMBI
122,JAMBI  4,15885,JAMBI
123,JAMBI  5,15885,JAMBI
124,JAMBI  6,15885,JAMBI
125,SUMATERA SELATAN  1,17404,SUMATERA SELATAN
126,SUMATERA SELATAN  2,17404,SUMATERA SELATAN
127,SUMATERA SELATAN  3,17404,SUMATERA SELATAN
128,SUMATERA SELATAN  4,17404,SUMATERA SELATAN
129,SUMATERA SELATAN  5,17404,SUMATERA SELATAN
130,SUMATERA SELATAN  6,17404,SUMATERA SELATAN
131,SUMATERA SELATAN  7,17404,SUMATERA SELATAN
132,SUMATERA SELATAN  8,17404,SUMATERA SELATAN
133,SUMATERA SELATAN  9,17404,SUMATERA SELATAN
134,SUMATERA SELATAN  10,17404,SUMATERA SELATAN
135,BENGKULU  1,20802,BENGKULU
136,BENGKULU  2,20802,BENGKULU
137,BENGKULU  3,20802,BENGKULU
138,BENGKULU  4,20802,BENGKULU
139,BENGKULU  5,20802,BENGKULU
140,BENGKULU  6,20802,BENGKULU
141,BENGKULU  7,20802,BENGKULU
142,LAMPUNG  1,22328,LAMPUNG
143,LAMPUNG  2,22328,LAMPUNG
144,LAMPUNG  3,22328,LAMPUNG
145,LAMPUNG  4,22328,LAMPUNG
146,LAMPUNG  5,22328,LAMPUNG
147,LAMPUNG  6,22328,LAMPUNG
148,LAMPUNG  7,22328,LAMPUNG
149,LAMPUNG  8,22328,LAMPUNG
156,KEPULAUAN RIAU  1,25405,KEPULAUAN RIAU
157,KEPULAUAN RIAU  2,25405,KEPULAUAN RIAU
158,KEPULAUAN RIAU  3,25405,KEPULAUAN RIAU
159,KEPULAUAN RIAU  4,25405,KEPULAUAN RIAU
160,KEPULAUAN RIAU  5,25405,KEPULAUAN RIAU
161,KEPULAUAN RIAU  6,25405,KEPULAUAN RIAU
162,KEPULAUAN RIAU  7,25405,KEPULAUAN RIAU
173,JAWA BARAT  1,26141,JAWA BARAT
174,JAWA BARAT  2,26141,JAWA BARAT
175,JAWA BARAT  3,26141,JAWA BARAT
176,JAWA BARAT  4,26141,JAWA BARAT
177,JAWA BARAT  5,26141,JAWA BARAT
178,JAWA BARAT  6,26141,JAWA BARAT
179,JAWA BARAT  7,26141,JAWA BARAT
180,JAWA BARAT  8,26141,JAWA BARAT
181,JAWA BARAT  9,26141,JAWA BARAT
182,JAWA BARAT  10,26141,JAWA BARAT
183,JAWA BARAT  11,26141,JAWA BARAT
184,JAWA BARAT  12,26141,JAWA BARAT
185,JAWA BARAT  13,26141,JAWA BARAT
186,JAWA BARAT  14,26141,JAWA BARAT
187,JAWA BARAT  15,26141,JAWA BARAT
150,KEPULAUAN BANGKA BELITUNG  1,24993,KEPULAUAN BANGKA BELITUNG
151,KEPULAUAN BANGKA BELITUNG  2,24993,KEPULAUAN BANGKA BELITUNG
152,KEPULAUAN BANGKA BELITUNG  3,24993,KEPULAUAN BANGKA BELITUNG
153,KEPULAUAN BANGKA BELITUNG  4,24993,KEPULAUAN BANGKA BELITUNG
154,KEPULAUAN BANGKA BELITUNG  5,24993,KEPULAUAN BANGKA BELITUNG
155,KEPULAUAN BANGKA BELITUNG  6,24993,KEPULAUAN BANGKA BELITUNG
163,DKI JAKARTA  1,25823,DKI JAKARTA
164,DKI JAKARTA  2,25823,DKI JAKARTA
165,DKI JAKARTA  3,25823,DKI JAKARTA
166,DKI JAKARTA  4,25823,DKI JAKARTA
167,DKI JAKARTA  5,25823,DKI JAKARTA
168,DKI JAKARTA  6,25823,DKI JAKARTA
169,DKI JAKARTA  7,25823,DKI JAKARTA
170,DKI JAKARTA  8,25823,DKI JAKARTA
171,DKI JAKARTA  9,25823,DKI JAKARTA
172,DKI JAKARTA  10,25823,DKI JAKARTA
188,JAWA TENGAH  1,32676,JAWA TENGAH
189,JAWA TENGAH  2,32676,JAWA TENGAH
190,JAWA TENGAH  3,32676,JAWA TENGAH
191,JAWA TENGAH  4,32676,JAWA TENGAH
192,JAWA TENGAH  5,32676,JAWA TENGAH
193,JAWA TENGAH  6,32676,JAWA TENGAH
194,JAWA TENGAH  7,32676,JAWA TENGAH
195,JAWA TENGAH  8,32676,JAWA TENGAH
196,JAWA TENGAH  9,32676,JAWA TENGAH
197,JAWA TENGAH  10,32676,JAWA TENGAH
198,JAWA TENGAH  11,32676,JAWA TENGAH
199,JAWA TENGAH  12,32676,JAWA TENGAH
200,JAWA TENGAH  13,32676,JAWA TENGAH
201,DAERAH ISTIMEWA YOGYAKARTA  1,41863,DAERAH ISTIMEWA YOGYAKARTA
202,DAERAH ISTIMEWA YOGYAKARTA  2,41863,DAERAH ISTIMEWA YOGYAKARTA
203,DAERAH ISTIMEWA YOGYAKARTA  3,41863,DAERAH ISTIMEWA YOGYAKARTA
204,DAERAH ISTIMEWA YOGYAKARTA  4,41863,DAERAH ISTIMEWA YOGYAKARTA
