jenisPemilihan,dapil_id,nama_dapil,id_provinsi,nama_provinsi,kode_kabkota,nama_kabkota
DPR RI,1,ACEH I,1,ACEH,,
DPR RI,2,ACEH II,1,ACEH,,
DPR RI,3,SUMATERA UTARA I,6728,SUMATERA UTARA,,
DPR RI,4,SUMATERA UTARA II,6728,SUMATERA UTARA,,
DPR RI,5,SUMATERA UTARA III,6728,SUMATERA UTARA,,
DPR RI,6,SUMATERA BARAT I,12920,SUMATERA BARAT,,
DPR RI,7,SUMATERA BARAT II,12920,SUMATERA BARAT,,
DPR RI,8,RIAU I,14086,RIAU,,
DPR RI,9,RIAU II,14086,RIAU,,
DPR RI,10,JAMBI,15885,JAMBI,,
DPR RI,11,SUMATERA SELATAN I,17404,SUMATERA SELATAN,,
DPR RI,12,SUMATERA SELATAN II,17404,SUMATERA SELATAN,,
DPR RI,13,BENGKULU,20802,BENGKULU,,
DPR RI,14,LAMPUNG I,22328,LAMPUNG,,
DPR RI,15,LAMPUNG II,22328,LAMPUNG,,
DPR RI,17,KEPULAUAN RIAU,25405,KEPULAUAN RIAU,,
DPR RI,21,JAWA BARAT I,26141,JAWA BARAT,,
DPR RI,22,JAWA BARAT II,26141,JAWA BARAT,,
DPR RI,23,JAWA BARAT III,26141,JAWA BARAT,,
DPR RI,24,JAWA BARAT IV,26141,JAWA BARAT,,
DPR RI,25,JAWA BARAT V,26141,JAWA BARAT,,
DPR RI,26,JAWA BARAT VI,26141,JAWA BARAT,,
DPR RI,27,JAWA BARAT VII,26141,JAWA BARAT,,
DPR RI,28,JAWA BARAT VIII,26141,JAWA BARAT,,
DPR RI,29,JAWA BARAT IX,26141,JAWA BARAT,,
DPR RI,30,JAWA BARAT X,26141,JAWA BARAT,,
DPR RI,31,JAWA BARAT XI,26141,JAWA BARAT,,
DPR RI,16,KEPULAUAN BANGKA BELITUNG,24993,KEPULAUAN BANGKA BELITUNG,,
DPR RI,18,DKI JAKARTA I,25823,DKI JAKARTA,,
DPR RI,19,DKI JAKARTA II,25823,DKI JAKARTA,,
DPR RI,20,DKI JAKARTA III,25823,DKI JAKARTA,,
DPR RI,32,JAWA TENGAH I,32676,JAWA TENGAH,,
DPR RI,33,JAWA TENGAH II,32676,JAWA TENGAH,,
DPR RI,34,JAWA TENGAH III,32676,JAWA TENGAH,,
DPR RI,35,JAWA TENGAH IV,32676,JAWA TENGAH,,
DPR RI,36,JAWA TENGAH V,32676,JAWA TENGAH,,
DPR RI,37,JAWA TENGAH VI,32676,JAWA TENGAH,,
DPR RI,38,JAWA TENGAH VII,32676,JAWA TENGAH,,
DPR RI,39,JAWA TENGAH VIII,32676,JAWA TENGAH,,
DPR RI,40,JAWA TENGAH IX,32676,JAWA TENGAH,,
DPR RI,41,JAWA TENGAH X,32676,JAWA TENGAH,,
DPR RI,42,DAERAH ISTIMEWA YOGYAKARTA,41863,DAERAH ISTIMEWA YOGYAKARTA,,
