idPro,namaPro,idKab,namaKab,totalAlokasiKursi
1,ACEH,2,ACEH SELATAN,30
1,ACEH,269,ACEH TENGGARA,30
1,ACEH,671,ACEH TIMUR,40
1,ACEH,1207,ACEH TENGAH,30
1,ACEH,1492,ACEH BARAT,25
1,ACEH,1824,ACEH BESAR,35
1,ACEH,2452,PIDIE,40
1,ACEH,3205,ACEH UTARA,45
1,ACEH,4086,SIMEULUE,20
1,ACEH,4233,ACEH SINGKIL,25
1,ACEH,4362,BIREUEN,40
1,ACEH,4989,ACEH BARAT DAYA,25
1,ACEH,5138,GAYO LUES,20
1,ACEH,5286,ACEH JAYA,20
1,ACEH,5463,NAGAN RAYA,25
1,ACEH,5694,ACEH TAMIANG,30
1,ACEH,5920,BENER MERIAH,25
1,ACEH,6166,PIDIE JAYA,25
1,ACEH,6397,KOTA BANDA ACEH,30
1,ACEH,6497,KOTA SABANG,20
1,ACEH,6518,KOTA LHOKSEUMAWE,25
1,ACEH,6591,KOTA LANGSA,25
1,ACEH,6648,KOTA SUBULUSSALAM,20
6728,SUMATERA UTARA,6729,LABUHANBATU SELATAN,35
6728,SUMATERA UTARA,6789,LABUHANBATU UTARA,35
6728,SUMATERA UTARA,6888,NIAS UTARA,25
6728,SUMATERA UTARA,7013,NIAS BARAT,20
6728,SUMATERA UTARA,7132,KOTA GUNUNGSITOLI,25
6728,SUMATERA UTARA,7240,TAPANULI TENGAH,35
6728,SUMATERA UTARA,7438,TAPANULI UTARA,35
6728,SUMATERA UTARA,7697,TAPANULI SELATAN,35
6728,SUMATERA UTARA,7960,NIAS,25
6728,SUMATERA UTARA,8094,LANGKAT,50
6728,SUMATERA UTARA,8408,KARO,35
6728,SUMATERA UTARA,8688,DELI SERDANG,50
6728,SUMATERA UTARA,9114,SIMALUNGUN,50
6728,SUMATERA UTARA,9497,ASAHAN,45
6728,SUMATERA UTARA,9727,LABUHANBATU,45
6728,SUMATERA UTARA,9835,DAIRI,35
6728,SUMATERA UTARA,10020,TOBA SAMOSIR,30
6728,SUMATERA UTARA,10227,MANDAILING NATAL,40
6728,SUMATERA UTARA,10646,NIAS SELATAN,35
6728,SUMATERA UTARA,11022,PAKPAK BHARAT,20
6728,SUMATERA UTARA,11083,HUMBANG HASUNDUTAN,25
6728,SUMATERA UTARA,11247,SAMOSIR,25
6728,SUMATERA UTARA,11374,SERDANG BEDAGAI,45
6728,SUMATERA UTARA,11635,BATU BARA,35
6728,SUMATERA UTARA,11743,KOTA MEDAN,50
6728,SUMATERA UTARA,11916,KOTA PEMATANGSIANTAR,30
6728,SUMATERA UTARA,11978,KOTA SIBOLGA,20
6728,SUMATERA UTARA,12000,KOTA TANJUNG BALAI,25
6728,SUMATERA UTARA,12038,KOTA BINJAI,30
6728,SUMATERA UTARA,12081,KOTA TEBING TINGGI,25
6728,SUMATERA UTARA,12122,KOTA PADANG SIDIMPUAN,30
