domainName,idKab,idParent,idPro,idWilayah_1,kodeKab,kodeKec,kodeKel,kodePro,namaKab,namaPro,namaWilayah,tingkatWilayah,alokasiKursi,alokasiSisaKursi,createdAt,createdBy,id,idVersi,idWilayah,jumlahPenduduk,nama,noDapil,parent,peringkatPenduduk,sisaPenduduk,statusCoterminous,tingkat,totalAlokasiKursi,updatedAt,updatedBy
acehselatankab,2,1,1,2,1101,110100,1101000000,11,ACEH SELATAN,ACEH,ACEH SELATAN,2,5,0,"Dec 31, 2017 10:36:27 AM",hafizh,2724,739,2,41389,ACEH SELATAN 1,1,-1,4,3014,False,2,5,"Dec 31, 2017 10:36:27 AM",hafizh
acehselatankab,2,1,1,2,1101,110100,1101000000,11,ACEH SELATAN,ACEH,ACEH SELATAN,2,4,1,"Dec 31, 2017 10:36:27 AM",hafizh,2725,739,2,36769,ACEH SELATAN 2,2,-1,2,6069,False,2,5,"Dec 31, 2017 10:36:27 AM",hafizh
acehselatankab,2,1,1,2,1101,110100,1101000000,11,ACEH SELATAN,ACEH,ACEH SELATAN,2,5,0,"Dec 31, 2017 10:36:27 AM",hafizh,2726,739,2,40020,ACEH SELATAN 3,3,-1,5,1645,False,2,5,"Dec 31, 2017 10:36:27 AM",hafizh
acehselatankab,2,1,1,2,1101,110100,1101000000,11,ACEH SELATAN,ACEH,ACEH SELATAN,2,9,1,"Dec 31, 2017 10:36:27 AM",hafizh,2727,739,2,74338,ACEH SELATAN 4,4,-1,3,5263,False,2,10,"Dec 31, 2017 10:36:27 AM",hafizh
acehselatankab,2,1,1,2,1101,110100,1101000000,11,ACEH SELATAN,ACEH,ACEH SELATAN,2,4,1,"Dec 31, 2017 10:36:27 AM",hafizh,2728,739,2,37738,ACEH SELATAN 5,5,-1,1,7038,False,2,5,"Dec 31, 2017 10:36:27 AM",hafizh
acehtenggarakab,269,1,1,269,1102,110200,1102000000,11,ACEH TENGGARA,ACEH,ACEH TENGGARA,2,7,1,"Dec 31, 2017 6:51:25 PM",galuh,1951,550,269,55972,ACEH TENGGARA 1,1,-1,2,4249,False,2,8,"Dec 31, 2017 6:51:25 PM",galuh
acehtenggarakab,269,1,1,269,1102,110200,1102000000,11,ACEH TENGGARA,ACEH,ACEH TENGGARA,2,5,0,"Dec 31, 2017 6:51:25 PM",galuh,1952,550,269,38982,ACEH TENGGARA 2,2,-1,4,2037,False,2,5,"Dec 31, 2017 6:51:25 PM",galuh
acehtenggarakab,269,1,1,269,1102,110200,1102000000,11,ACEH TENGGARA,ACEH,ACEH TENGGARA,2,4,1,"Dec 31, 2017 6:51:25 PM",galuh,1953,550,269,34781,ACEH TENGGARA 3,3,-1,1,5225,False,2,5,"Dec 31, 2017 6:51:25 PM",galuh
acehtenggarakab,269,1,1,269,1102,110200,1102000000,11,ACEH TENGGARA,ACEH,ACEH TENGGARA,2,7,0,"Dec 31, 2017 6:51:25 PM",galuh,1954,550,269,52198,ACEH TENGGARA 4,4,-1,5,475,False,2,7,"Dec 31, 2017 6:51:25 PM",galuh
acehtenggarakab,269,1,1,269,1102,110200,1102000000,11,ACEH TENGGARA,ACEH,ACEH TENGGARA,2,5,0,"Dec 31, 2017 6:51:25 PM",galuh,1955,550,269,39751,ACEH TENGGARA 5,5,-1,3,2806,False,2,5,"Dec 31, 2017 6:51:25 PM",galuh
