domainName,idKab,idParent,idPro,idWilayah,kodeKab,kodeKec,kodeKel,kodePro,namaKab,namaPro,namaWilayah,tingkatWilayah,json_dcs_dprd_kabkota
acehselatankab,2,1,1,2,1101,110100,1101000000,11,ACEH SELATAN,ACEH,ACEH SELATAN,2,"[{""id"":2724,""nama"":""ACEH SELATAN 1"",""parent"":-1,""tingkat"":2,""jumlahPenduduk"":41389,""alokasiKursi"":5,""sisaPenduduk"":3014,""peringkatPenduduk"":4,""alokasiSisaKursi"":0,""idWilayah"":2,""createdBy"":""hafizh"",""createdAt"":""Dec 31, 2017 10:36:27 AM"",""updatedBy"":""hafizh"",""updatedAt"":""Dec 31, 2017 10:36:27 AM"",""totalAlokasiKursi"":5,""idVersi"":739,""noDapil"":1,""statusCoterminous"":false},{""id"":2725,""nama"":""ACEH SELATAN 2"",""parent"":-1,""tingkat"":2,""jumlahPenduduk"":36769,""alokasiKursi"":4,""sisaPenduduk"":6069,""peringkatPenduduk"":2,""alokasiSisaKursi"":1,""idWilayah"":2,""createdBy"":""hafizh"",""createdAt"":""Dec 31, 2017 10:36:27 AM"",""updatedBy"":""hafizh"",""updatedAt"":""Dec 31, 2017 10:36:27 AM"",""totalAlokasiKursi"":5,""idVersi"":739,""noDapil"":2,""statusCoterminous"":false},{""id"":2726,""nama"":""ACEH SELATAN 3"",""parent"":-1,""tingkat"":2,""jumlahPenduduk"":40020,""alokasiKursi"":5,""sisaPenduduk"":1645,""peringkatPenduduk"":5,""alokasiSisaKursi"":0,""idWilayah"":2,""createdBy"":""hafizh"",""createdAt"":""Dec 31, 2017 10:36:27 AM"",""updatedBy"":""hafizh"",""updatedAt"":""Dec 31, 2017 10:36:27 AM"",""totalAlokasiKursi"":5,""idVersi"":739,""noDapil"":3,""statusCoterminous"":false},{""id"":2727,""nama"":""ACEH SELATAN 4"",""parent"":-1,""tingkat"":2,""jumlahPenduduk"":74338,""alokasiKursi"":9,""sisaPenduduk"":5263,""peringkatPenduduk"":3,""alokasiSisaKursi"":1,""idWilayah"":2,""createdBy"":""hafizh"",""createdAt"":""Dec 31, 2017 10:36:27 AM"",""updatedBy"":""hafizh"",""updatedAt"":""Dec 31, 2017 10:36:27 AM"",""totalAlokasiKursi"":10,""idVersi"":739,""noDapil"":4,""statusCoterminous"":false},{""id"":2728,""nama"":""ACEH SELATAN 5"",""parent"":-1,""tingkat"":2,""jumlahPenduduk"":37738,""alokasiKursi"":4,""sisaPenduduk"":7038,""peringkatPenduduk"":1,""alokasiSisaKursi"":1,""idWilayah"":2,""createdBy"":""hafizh"",""createdAt"":""Dec 31, 2017 10:36:27 AM"",""updatedBy"":""hafizh"",""updatedAt"":""Dec 31, 2017 10:36:27 AM"",""totalAlokasiKursi"":5,""idVersi"":739,""noDapil"":5,""statusCoterminous"":false}]"
acehtenggarakab,269,1,1,269,1102,110200,1102000000,11,ACEH TENGGARA,ACEH,ACEH TENGGARA,2,"[{""id"":1951,""nama"":""ACEH TENGGARA 1"",""parent"":-1,""tingkat"":2,""jumlahPenduduk"":55972,""alokasiKursi"":7,""sisaPenduduk"":4249,""peringkatPenduduk"":2,""alokasiSisaKursi"":1,""idWilayah"":269,""createdBy"":""galuh"",""createdAt"":""Dec 31, 2017 6:51:25 PM"",""updatedBy"":""galuh"",""updatedAt"":""Dec 31, 2017 6:51:25 PM"",""totalAlokasiKursi"":8,""idVersi"":550,""noDapil"":1,""statusCoterminous"":false},{""id"":1952,""nama"":""ACEH TENGGARA 2"",""parent"":-1,""tingkat"":2,""jumlahPenduduk"":38982,""alokasiKursi"":5,""sisaPenduduk"":2037,""peringkatPenduduk"":4,""alokasiSisaKursi"":0,""idWilayah"":269,""createdBy"":""galuh"",""createdAt"":""Dec 31, 2017 6:51:25 PM"",""updatedBy"":""galuh"",""updatedAt"":""Dec 31, 2017 6:51:25 PM"",""totalAlokasiKursi"":5,""idVersi"":550,""noDapil"":2,""statusCoterminous"":false},{""id"":1953,""nama"":""ACEH TENGGARA 3"",""parent"":-1,""tingkat"":2,""jumlahPenduduk"":34781,""alokasiKursi"":4,""sisaPenduduk"":5225,""peringkatPenduduk"":1,""alokasiSisaKursi"":1,""idWilayah"":269,""createdBy"":""galuh"",""createdAt"":""Dec 31, 2017 6:51:25 PM"",""updatedBy"":""galuh"",""updatedAt"":""Dec 31, 2017 6:51:25 PM"",""totalAlokasiKursi"":5,""idVersi"":550,""noDapil"":3,""statusCoterminous"":false},{""id"":1954,""nama"":""ACEH TENGGARA 4"",""parent"":-1,""tingkat"":2,""jumlahPenduduk"":52198,""alokasiKursi"":7,""sisaPenduduk"":475,""peringkatPenduduk"":5,""alokasiSisaKursi"":0,""idWilayah"":269,""createdBy"":""galuh"",""createdAt"":""Dec 31, 2017 6:51:25 PM"",""updatedBy"":""galuh"",""updatedAt"":""Dec 31, 2017 6:51:25 PM"",""totalAlokasiKursi"":7,""idVersi"":550,""noDapil"":4,""statusCoterminous"":false},{""id"":1955,""nama"":""ACEH TENGGARA 5"",""parent"":-1,""tingkat"":2,""jumlahPenduduk"":39751,""alokasiKursi"":5,""sisaPenduduk"":2806,""peringkatPenduduk"":3,""alokasiSisaKursi"":0,""idWilayah"":269,""createdBy"":""galuh"",""createdAt"":""Dec 31, 2017 6:51:25 PM"",""updatedBy"":""galuh"",""updatedAt"":""Dec 31, 2017 6:51:25 PM"",""totalAlokasiKursi"":5,""idVersi"":550,""noDapil"":5,""statusCoterminous"":false}]"
acehtimurkab,671,1,1,671,1103,110300,1103000000,11,ACEH TIMUR,ACEH,ACEH TIMUR,2,"[{""id"":5560,""nama"":""ACEH TIMUR 1"",""parent"":-1,""tingkat"":2,""jumlahPenduduk"":83801,""alokasiKursi"":7,""sisaPenduduk"":9909,""peringkatPenduduk"":1,""alokasiSisaKursi"":1,""idWilayah"":671,""createdBy"":""vici"",""createdAt"":""Dec 31, 2017 3:30:36 PM"",""updatedBy"":""hafizh"",""updatedAt"":""Dec 31, 2017 2:14:43 PM"",""totalAlokasiKursi"":8,""idVersi"":1347,""noDapil"":1,""statusCoterminous"":false},{""id"":5561,""nama"":""ACEH TIMUR 2"",""parent"":-1,""tingkat"":2,""jumlahPenduduk"":116803,""alokasiKursi"":11,""sisaPenduduk"":687,""peringkatPenduduk"":4,""alokasiSisaKursi"":0,""idWilayah"":671,""createdBy"":""vici"",""createdAt"":""Dec 31, 2017 3:30:36 PM"",""updatedBy"":""hafizh"",""updatedAt"":""Dec 31, 2017 2:14:43 PM"",""totalAlokasiKursi"":11,""idVersi"":1347,""noDapil"":2,""statusCoterminous"":false},{""id"":5562,""nama"":""ACEH TIMUR 3"",""parent"":-1,""tingkat"":2,""jumlahPenduduk"":61772,""alokasiKursi"":5,""sisaPenduduk"":8992,""peringkatPenduduk"":2,""alokasiSisaKursi"":1,""idWilayah"":671,""createdBy"":""vici"",""createdAt"":""Dec 31, 2017 3:30:36 PM"",""updatedBy"":""hafizh"",""updatedAt"":""Dec 31, 2017 2:14:43 PM"",""totalAlokasiKursi"":6,""idVersi"":1347,""noDapil"":3,""statusCoterminous"":false},{""id"":5563,""nama"":""ACEH TIMUR 4"",""parent"":-1,""tingkat"":2,""jumlahPenduduk"":74755,""alokasiKursi"":7,""sisaPenduduk"":863,""peringkatPenduduk"":3,""alokasiSisaKursi"":0,""idWilayah"":671,""createdBy"":""vici"",""createdAt"":""Dec 31, 2017 3:30:36 PM"",""updatedBy"":""hafizh"",""updatedAt"":""Dec 31, 2017 2:14:43 PM"",""totalAlokasiKursi"":7,""idVersi"":1347,""noDapil"":4,""statusCoterminous"":false},{""id"":5564,""nama"":""ACEH TIMUR 5"",""parent"":-1,""tingkat"":2,""jumlahPenduduk"":85130,""alokasiKursi"":8,""sisaPenduduk"":682,""peringkatPenduduk"":5,""alokasiSisaKursi"":0,""idWilayah"":671,""createdBy"":""vici"",""createdAt"":""Dec 31, 2017 3:30:36 PM"",""updatedBy"":""hafizh"",""updatedAt"":""Dec 31, 2017 2:14:43 PM"",""totalAlokasiKursi"":8,""idVersi"":1347,""noDapil"":5,""statusCoterminous"":false}]"
acehtengahkab,1207,1,1,1207,1104,110400,1104000000,11,ACEH TENGAH,ACEH,ACEH TENGAH,2,"[{""id"":2746,""nama"":""ACEH TENGAH 1"",""parent"":-1,""tingkat"":2,""jumlahPenduduk"":48741,""alokasiKursi"":7,""sisaPenduduk"":119,""peringkatPenduduk"":2,""alokasiSisaKursi"":0,""idWilayah"":1207,""createdBy"":""hafizh"",""createdAt"":""Dec 31, 2017 10:51:20 AM"",""updatedBy"":""hafizh"",""updatedAt"":""Dec 31, 2017 10:51:20 AM"",""totalAlokasiKursi"":7,""idVersi"":744,""noDapil"":1,""statusCoterminous"":false},{""id"":2747,""nama"":""ACEH TENGAH 2"",""parent"":-1,""tingkat"":2,""jumlahPenduduk"":48673,""alokasiKursi"":7,""sisaPenduduk"":51,""peringkatPenduduk"":3,""alokasiSisaKursi"":0,""idWilayah"":1207,""createdBy"":""hafizh"",""createdAt"":""Dec 31, 2017 10:51:20 AM"",""updatedBy"":""hafizh"",""updatedAt"":""Dec 31, 2017 10:51:20 AM"",""totalAlokasiKursi"":7,""idVersi"":744,""noDapil"":2,""statusCoterminous"":false},{""id"":2748,""nama"":""ACEH TENGAH 3"",""parent"":-1,""tingkat"":2,""jumlahPenduduk"":55616,""alokasiKursi"":8,""sisaPenduduk"":48,""peringkatPenduduk"":4,""alokasiSisaKursi"":0,""idWilayah"":1207,""createdBy"":""hafizh"",""createdAt"":""Dec 31, 2017 10:51:20 AM"",""updatedBy"":""hafizh"",""updatedAt"":""Dec 31, 2017 10:51:20 AM"",""totalAlokasiKursi"":8,""idVersi"":744,""noDapil"":3,""statusCoterminous"":false},{""id"":2749,""nama"":""ACEH TENGAH 4"",""parent"":-1,""tingkat"":2,""jumlahPenduduk"":55377,""alokasiKursi"":7,""sisaPenduduk"":6755,""peringkatPenduduk"":1,""alokasiSisaKursi"":1,""idWilayah"":1207,""createdBy"":""hafizh"",""createdAt"":""Dec 31, 2017 10:51:20 AM"",""updatedBy"":""hafizh"",""updatedAt"":""Dec 31, 2017 10:51:20 AM"",""totalAlokasiKursi"":8,""idVersi"":744,""noDapil"":4,""statusCoterminous"":false}]"
acehbaratkab,1492,1,1,1492,1105,110500,1105000000,11,ACEH BARAT,ACEH,ACEH BARAT,2,"[{""id"":2674,""nama"":""ACEH BARAT 1"",""parent"":-1,""tingkat"":2,""jumlahPenduduk"":59470,""alokasiKursi"":7,""sisaPenduduk"":6522,""peringkatPenduduk"":3,""alokasiSisaKursi"":1,""idWilayah"":1492,""createdBy"":""hafizh"",""createdAt"":""Dec 31, 2017 9:08:01 AM"",""updatedBy"":""hafizh"",""updatedAt"":""Dec 31, 2017 9:08:01 AM"",""totalAlokasiKursi"":8,""idVersi"":727,""noDapil"":1,""statusCoterminous"":false},{""id"":2675,""nama"":""ACEH BARAT 2"",""parent"":-1,""tingkat"":2,""jumlahPenduduk"":33148,""alokasiKursi"":4,""sisaPenduduk"":2892,""peringkatPenduduk"":5,""alokasiSisaKursi"":0,""idWilayah"":1492,""createdBy"":""hafizh"",""createdAt"":""Dec 31, 2017 9:08:01 AM"",""updatedBy"":""hafizh"",""updatedAt"":""Dec 31, 2017 9:08:01 AM"",""totalAlokasiKursi"":4,""idVersi"":727,""noDapil"":2,""statusCoterminous"":false},{""id"":2676,""nama"":""ACEH BARAT 3"",""parent"":-1,""tingkat"":2,""jumlahPenduduk"":30031,""alokasiKursi"":3,""sisaPenduduk"":7339,""peringkatPenduduk"":1,""alokasiSisaKursi"":1,""idWilayah"":1492,""createdBy"":""hafizh"",""createdAt"":""Dec 31, 2017 9:08:01 AM"",""updatedBy"":""hafizh"",""updatedAt"":""Dec 31, 2017 9:08:01 AM"",""totalAlokasiKursi"":4,""idVersi"":727,""noDapil"":3,""statusCoterminous"":false},{""id"":2677,""nama"":""ACEH BARAT 4"",""parent"":-1,""tingkat"":2,""jumlahPenduduk"":37583,""alokasiKursi"":4,""sisaPenduduk"":7327,""peringkatPenduduk"":2,""alokasiSisaKursi"":1,""idWilayah"":1492,""createdBy"":""hafizh"",""createdAt"":""Dec 31, 2017 9:08:01 AM"",""updatedBy"":""hafizh"",""updatedAt"":""Dec 31, 2017 9:08:01 AM"",""totalAlokasiKursi"":5,""idVersi"":727,""noDapil"":4,""statusCoterminous"":false},{""id"":2678,""nama"":""ACEH BARAT 5"",""parent"":-1,""tingkat"":2,""jumlahPenduduk"":28887,""alokasiKursi"":3,""sisaPenduduk"":6195,""peringkatPenduduk"":4,""alokasiSisaKursi"":1,""idWilayah"":1492,""createdBy"":""hafizh"",""createdAt"":""Dec 31, 2017 9:08:01 AM"",""updatedBy"":""hafizh"",""updatedAt"":""Dec 31, 2017 9:08:01 AM"",""totalAlokasiKursi"":4,""idVersi"":727,""noDapil"":5,""statusCoterminous"":false}]"
acehbesarkab,1824,1,1,1824,1106,110600,1106000000,11,ACEH BESAR,ACEH,ACEH BESAR,2,"[{""id"":5565,""nama"":""ACEH BESAR 1"",""parent"":-1,""tingkat"":2,""jumlahPenduduk"":79209,""alokasiKursi"":7,""sisaPenduduk"":2279,""peringkatPenduduk"":4,""alokasiSisaKursi"":0,""idWilayah"":1824,""createdBy"":""vici"",""createdAt"":""Dec 31, 2017 3:36:37 PM"",""updatedBy"":""hafizh"",""updatedAt"":""Dec 31, 2017 10:32:13 AM"",""totalAlokasiKursi"":7,""idVersi"":1348,""noDapil"":1,""statusCoterminous"":false},{""id"":5566,""nama"":""ACEH BESAR 2"",""parent"":-1,""tingkat"":2,""jumlahPenduduk"":53432,""alokasiKursi"":4,""sisaPenduduk"":9472,""peringkatPenduduk"":1,""alokasiSisaKursi"":1,""idWilayah"":1824,""createdBy"":""vici"",""createdAt"":""Dec 31, 2017 3:36:37 PM"",""updatedBy"":""hafizh"",""updatedAt"":""Dec 31, 2017 10:32:13 AM"",""totalAlokasiKursi"":5,""idVersi"":1348,""noDapil"":2,""statusCoterminous"":false},{""id"":5567,""nama"":""ACEH BESAR 3"",""parent"":-1,""tingkat"":2,""jumlahPenduduk"":66058,""alokasiKursi"":6,""sisaPenduduk"":118,""peringkatPenduduk"":5,""alokasiSisaKursi"":0,""idWilayah"":1824,""createdBy"":""vici"",""createdAt"":""Dec 31, 2017 3:36:37 PM"",""updatedBy"":""hafizh"",""updatedAt"":""Dec 31, 2017 10:32:13 AM"",""totalAlokasiKursi"":6,""idVersi"":1348,""noDapil"":3,""statusCoterminous"":false},{""id"":5568,""nama"":""ACEH BESAR 4"",""parent"":-1,""tingkat"":2,""jumlahPenduduk"":82590,""alokasiKursi"":7,""sisaPenduduk"":5660,""peringkatPenduduk"":2,""alokasiSisaKursi"":1,""idWilayah"":1824,""createdBy"":""vici"",""createdAt"":""Dec 31, 2017 3:36:37 PM"",""updatedBy"":""hafizh"",""updatedAt"":""Dec 31, 2017 10:32:13 AM"",""totalAlokasiKursi"":8,""idVersi"":1348,""noDapil"":4,""statusCoterminous"":false},{""id"":5569,""nama"":""ACEH BESAR 5"",""parent"":-1,""tingkat"":2,""jumlahPenduduk"":103372,""alokasiKursi"":9,""sisaPenduduk"":4462,""peringkatPenduduk"":3,""alokasiSisaKursi"":0,""idWilayah"":1824,""createdBy"":""vici"",""createdAt"":""Dec 31, 2017 3:36:37 PM"",""updatedBy"":""hafizh"",""updatedAt"":""Dec 31, 2017 10:32:13 AM"",""totalAlokasiKursi"":9,""idVersi"":1348,""noDapil"":5,""statusCoterminous"":false}]"
pidiekab,2452,1,1,2452,1107,110700,1107000000,11,PIDIE,ACEH,PIDIE,2,"[{""id"":2922,""nama"":""PIDIE 1"",""parent"":-1,""tingkat"":2,""jumlahPenduduk"":83631,""alokasiKursi"":7,""sisaPenduduk"":7030,""peringkatPenduduk"":2,""alokasiSisaKursi"":1,""idWilayah"":2452,""createdBy"":""hafizh"",""createdAt"":""Dec 31, 2017 2:53:12 PM"",""updatedBy"":""hafizh"",""updatedAt"":""Dec 31, 2017 2:53:12 PM"",""totalAlokasiKursi"":8,""idVersi"":781,""noDapil"":1,""statusCoterminous"":false},{""id"":2923,""nama"":""PIDIE 2"",""parent"":-1,""tingkat"":2,""jumlahPenduduk"":88518,""alokasiKursi"":8,""sisaPenduduk"":974,""peringkatPenduduk"":4,""alokasiSisaKursi"":0,""idWilayah"":2452,""createdBy"":""hafizh"",""createdAt"":""Dec 31, 2017 2:53:12 PM"",""updatedBy"":""hafizh"",""updatedAt"":""Dec 31, 2017 2:53:12 PM"",""totalAlokasiKursi"":8,""idVersi"":781,""noDapil"":2,""statusCoterminous"":false},{""id"":2924,""nama"":""PIDIE 3"",""parent"":-1,""tingkat"":2,""jumlahPenduduk"":87826,""alokasiKursi"":8,""sisaPenduduk"":282,""peringkatPenduduk"":5,""alokasiSisaKursi"":0,""idWilayah"":2452,""createdBy"":""hafizh"",""createdAt"":""Dec 31, 2017 2:53:12 PM"",""updatedBy"":""hafizh"",""updatedAt"":""Dec 31, 2017 2:53:12 PM"",""totalAlokasiKursi"":8,""idVersi"":781,""noDapil"":3,""statusCoterminous"":false},{""id"":2925,""nama"":""PIDIE 4"",""parent"":-1,""tingkat"":2,""jumlahPenduduk"":91508,""alokasiKursi"":8,""sisaPenduduk"":3964,""peringkatPenduduk"":3,""alokasiSisaKursi"":0,""idWilayah"":2452,""createdBy"":""hafizh"",""createdAt"":""Dec 31, 2017 2:53:12 PM"",""updatedBy"":""hafizh"",""updatedAt"":""Dec 31, 2017 2:53:12 PM"",""totalAlokasiKursi"":8,""idVersi"":781,""noDapil"":4,""statusCoterminous"":false},{""id"":2926,""nama"":""PIDIE 5"",""parent"":-1,""tingkat"":2,""jumlahPenduduk"":86257,""alokasiKursi"":7,""sisaPenduduk"":9656,""peringkatPenduduk"":1,""alokasiSisaKursi"":1,""idWilayah"":2452,""createdBy"":""hafizh"",""createdAt"":""Dec 31, 2017 2:53:12 PM"",""updatedBy"":""hafizh"",""updatedAt"":""Dec 31, 2017 2:53:12 PM"",""totalAlokasiKursi"":8,""idVersi"":781,""noDapil"":5,""statusCoterminous"":false}]"
acehutarakab,3205,1,1,3205,1108,110800,1108000000,11,ACEH UTARA,ACEH,ACEH UTARA,2,"[{""id"":5570,""nama"":""ACEH UTARA 1"",""parent"":-1,""tingkat"":2,""jumlahPenduduk"":88194,""alokasiKursi"":6,""sisaPenduduk"":11412,""peringkatPenduduk"":1,""alokasiSisaKursi"":1,""idWilayah"":3205,""createdBy"":""vici"",""createdAt"":""Dec 31, 2017 3:43:33 PM"",""updatedBy"":""hafizh"",""updatedAt"":""Dec 31, 2017 2:22:10 PM"",""totalAlokasiKursi"":7,""idVersi"":1349,""noDapil"":1,""statusCoterminous"":false},{""id"":5571,""nama"":""ACEH UTARA 2"",""parent"":-1,""tingkat"":2,""jumlahPenduduk"":74311,""alokasiKursi"":5,""sisaPenduduk"":10326,""peringkatPenduduk"":3,""alokasiSisaKursi"":1,""idWilayah"":3205,""createdBy"":""vici"",""createdAt"":""Dec 31, 2017 3:43:33 PM"",""updatedBy"":""hafizh"",""updatedAt"":""Dec 31, 2017 2:22:10 PM"",""totalAlokasiKursi"":6,""idVersi"":1349,""noDapil"":2,""statusCoterminous"":false},{""id"":5572,""nama"":""ACEH UTARA 3"",""parent"":-1,""tingkat"":2,""jumlahPenduduk"":100474,""alokasiKursi"":7,""sisaPenduduk"":10895,""peringkatPenduduk"":2,""alokasiSisaKursi"":1,""idWilayah"":3205,""createdBy"":""vici"",""createdAt"":""Dec 31, 2017 3:43:33 PM"",""updatedBy"":""hafizh"",""updatedAt"":""Dec 31, 2017 2:22:10 PM"",""totalAlokasiKursi"":8,""idVersi"":1349,""noDapil"":3,""statusCoterminous"":false},{""id"":5573,""nama"":""ACEH UTARA 4"",""parent"":-1,""tingkat"":2,""jumlahPenduduk"":108378,""alokasiKursi"":8,""sisaPenduduk"":6002,""peringkatPenduduk"":6,""alokasiSisaKursi"":0,""idWilayah"":3205,""createdBy"":""vici"",""createdAt"":""Dec 31, 2017 3:43:33 PM"",""updatedBy"":""hafizh"",""updatedAt"":""Dec 31, 2017 2:22:10 PM"",""totalAlokasiKursi"":8,""idVersi"":1349,""noDapil"":4,""statusCoterminous"":false},{""id"":5574,""nama"":""ACEH UTARA 5"",""parent"":-1,""tingkat"":2,""jumlahPenduduk"":82879,""alokasiKursi"":6,""sisaPenduduk"":6097,""peringkatPenduduk"":5,""alokasiSisaKursi"":0,""idWilayah"":3205,""createdBy"":""vici"",""createdAt"":""Dec 31, 2017 3:43:33 PM"",""updatedBy"":""hafizh"",""updatedAt"":""Dec 31, 2017 2:22:10 PM"",""totalAlokasiKursi"":6,""idVersi"":1349,""noDapil"":5,""statusCoterminous"":false},{""id"":5575,""nama"":""ACEH UTARA 6"",""parent"":-1,""tingkat"":2,""jumlahPenduduk"":121659,""alokasiKursi"":9,""sisaPenduduk"":6486,""peringkatPenduduk"":4,""alokasiSisaKursi"":1,""idWilayah"":3205,""createdBy"":""vici"",""createdAt"":""Dec 31, 2017 3:43:33 PM"",""updatedBy"":""hafizh"",""updatedAt"":""Dec 31, 2017 2:22:10 PM"",""totalAlokasiKursi"":10,""idVersi"":1349,""noDapil"":6,""statusCoterminous"":false}]"
simeuluekab,4086,1,1,4086,1109,110900,1109000000,11,SIMEULUE,ACEH,SIMEULUE,2,"[{""id"":5576,""nama"":""SIMEULUE 1"",""parent"":-1,""tingkat"":2,""jumlahPenduduk"":26369,""alokasiKursi"":5,""sisaPenduduk"":4039,""peringkatPenduduk"":1,""alokasiSisaKursi"":1,""idWilayah"":4086,""createdBy"":""vici"",""createdAt"":""Dec 31, 2017 3:48:33 PM"",""updatedBy"":""hafizh"",""updatedAt"":""Dec 31, 2017 3:03:46 PM"",""totalAlokasiKursi"":6,""idVersi"":1350,""noDapil"":1,""statusCoterminous"":false},{""id"":5577,""nama"":""SIMEULUE 2"",""parent"":-1,""tingkat"":2,""jumlahPenduduk"":23287,""alokasiKursi"":5,""sisaPenduduk"":957,""peringkatPenduduk"":4,""alokasiSisaKursi"":0,""idWilayah"":4086,""createdBy"":""vici"",""createdAt"":""Dec 31, 2017 3:48:33 PM"",""updatedBy"":""hafizh"",""updatedAt"":""Dec 31, 2017 3:03:46 PM"",""totalAlokasiKursi"":5,""idVersi"":1350,""noDapil"":2,""statusCoterminous"":false},{""id"":5578,""nama"":""SIMEULUE 3"",""parent"":-1,""tingkat"":2,""jumlahPenduduk"":24081,""alokasiKursi"":5,""sisaPenduduk"":1751,""peringkatPenduduk"":3,""alokasiSisaKursi"":0,""idWilayah"":4086,""createdBy"":""vici"",""createdAt"":""Dec 31, 2017 3:48:33 PM"",""updatedBy"":""hafizh"",""updatedAt"":""Dec 31, 2017 3:03:46 PM"",""totalAlokasiKursi"":5,""idVersi"":1350,""noDapil"":3,""statusCoterminous"":false},{""id"":5579,""nama"":""SIMEULUE 4"",""parent"":-1,""tingkat"":2,""jumlahPenduduk"":15590,""alokasiKursi"":3,""sisaPenduduk"":2192,""peringkatPenduduk"":2,""alokasiSisaKursi"":1,""idWilayah"":4086,""createdBy"":""vici"",""createdAt"":""Dec 31, 2017 3:48:33 PM"",""updatedBy"":""hafizh"",""updatedAt"":""Dec 31, 2017 3:03:46 PM"",""totalAlokasiKursi"":4,""idVersi"":1350,""noDapil"":4,""statusCoterminous"":false}]"
acehsingkilkab,4233,1,1,4233,1110,111000,1110000000,11,ACEH SINGKIL,ACEH,ACEH SINGKIL,2,"[{""id"":5580,""nama"":""ACEH SINGKIL 1"",""parent"":-1,""tingkat"":2,""jumlahPenduduk"":42050,""alokasiKursi"":8,""sisaPenduduk"":466,""peringkatPenduduk"":4,""alokasiSisaKursi"":0,""idWilayah"":4233,""createdBy"":""vici"",""createdAt"":""Dec 31, 2017 3:53:33 PM"",""updatedBy"":""hafizh"",""updatedAt"":""Dec 31, 2017 10:41:00 AM"",""totalAlokasiKursi"":8,""idVersi"":1351,""noDapil"":1,""statusCoterminous"":false},{""id"":5581,""nama"":""ACEH SINGKIL 2"",""parent"":-1,""tingkat"":2,""jumlahPenduduk"":23589,""alokasiKursi"":4,""sisaPenduduk"":2797,""peringkatPenduduk"":3,""alokasiSisaKursi"":0,""idWilayah"":4233,""createdBy"":""vici"",""createdAt"":""Dec 31, 2017 3:53:33 PM"",""updatedBy"":""hafizh"",""updatedAt"":""Dec 31, 2017 10:41:00 AM"",""totalAlokasiKursi"":4,""idVersi"":1351,""noDapil"":2,""statusCoterminous"":false},{""id"":5582,""nama"":""ACEH SINGKIL 3"",""parent"":-1,""tingkat"":2,""jumlahPenduduk"":23711,""alokasiKursi"":4,""sisaPenduduk"":2919,""peringkatPenduduk"":2,""alokasiSisaKursi"":1,""idWilayah"":4233,""createdBy"":""vici"",""createdAt"":""Dec 31, 2017 3:53:33 PM"",""updatedBy"":""hafizh"",""updatedAt"":""Dec 31, 2017 10:41:00 AM"",""totalAlokasiKursi"":5,""idVersi"":1351,""noDapil"":3,""statusCoterminous"":false},{""id"":5583,""nama"":""ACEH SINGKIL 4"",""parent"":-1,""tingkat"":2,""jumlahPenduduk"":40613,""alokasiKursi"":7,""sisaPenduduk"":4227,""peringkatPenduduk"":1,""alokasiSisaKursi"":1,""idWilayah"":4233,""createdBy"":""vici"",""createdAt"":""Dec 31, 2017 3:53:33 PM"",""updatedBy"":""hafizh"",""updatedAt"":""Dec 31, 2017 10:41:00 AM"",""totalAlokasiKursi"":8,""idVersi"":1351,""noDapil"":4,""statusCoterminous"":false}]"
