domainName,idKab,idKec,idParent,idPro,idWilayah,kodeKab,kodeKec,kodeKel,kodePro,namaKab,namaKec,namaPro,namaWilayah,tingkatWilayah
,2,3,2,1,3,1101,110101,1101010000,11,ACEH SELATAN,BAKONGAN,ACEH,BAKONGAN,3
,2,9,2,1,9,1101,110102,1101020000,11,ACEH SELATAN,KLUET UTARA,ACEH,KLUET UTARA,3
,2,29,2,1,29,1101,110103,1101030000,11,ACEH SELATAN,KLUET SELATAN,ACEH,KLUET SELATAN,3
,2,47,2,1,47,1101,110104,1101040000,11,ACEH SELATAN,LABUHAN HAJI,ACEH,LABUHAN HAJI,3
,2,64,2,1,64,1101,110105,1101050000,11,ACEH SELATAN,MEUKEK,ACEH,MEUKEK,3
,2,87,2,1,87,1101,110106,1101060000,11,ACEH SELATAN,SAMADUA,ACEH,SAMADUA,3
,2,116,2,1,116,1101,110107,1101070000,11,ACEH SELATAN,SAWANG,ACEH,SAWANG,3
,2,132,2,1,132,1101,110108,1101080000,11,ACEH SELATAN,TAPAKTUAN,ACEH,TAPAKTUAN,3
,2,148,2,1,148,1101,110109,1101090000,11,ACEH SELATAN,TRUMON,ACEH,TRUMON,3
,2,161,2,1,161,1101,110110,1101100000,11,ACEH SELATAN,PASIE RAJA,ACEH,PASIE RAJA,3
,2,182,2,1,182,1101,110115,1101150000,11,ACEH SELATAN,BAKONGAN TIMUR,ACEH,BAKONGAN TIMUR,3
,2,190,2,1,190,1101,110113,1101130000,11,ACEH SELATAN,KLUET TENGAH,ACEH,KLUET TENGAH,3
,2,204,2,1,204,1101,110114,1101140000,11,ACEH SELATAN,KLUET TIMUR,ACEH,KLUET TIMUR,3
,2,212,2,1,212,1101,110116,1101160000,11,ACEH SELATAN,TRUMON TIMUR,ACEH,TRUMON TIMUR,3
,2,222,2,1,222,1101,110112,1101120000,11,ACEH SELATAN,LABUHAN HAJI BARAT,ACEH,LABUHAN HAJI BARAT,3
,2,236,2,1,236,1101,110111,1101110000,11,ACEH SELATAN,LABUHAN HAJI TIMUR,ACEH,LABUHAN HAJI TIMUR,3
,2,248,2,1,248,1101,110117,1101170000,11,ACEH SELATAN,KOTA BAHAGIA,ACEH,KOTA BAHAGIA,3
,2,259,2,1,259,1101,110118,1101180000,11,ACEH SELATAN,TRUMON TENGAH,ACEH,TRUMON TENGAH,3
,269,270,269,1,270,1102,110201,1102010000,11,ACEH TENGGARA,LAWE ALAS,ACEH,LAWE ALAS,3
,269,299,269,1,299,1102,110202,1102020000,11,ACEH TENGGARA,LAWE SIGALA-GALA,ACEH,LAWE SIGALA-GALA,3
,269,335,269,1,335,1102,110203,1102030000,11,ACEH TENGGARA,BAMBEL,ACEH,BAMBEL,3
,269,369,269,1,369,1102,110204,1102040000,11,ACEH TENGGARA,BABUSSALAM,ACEH,BABUSSALAM,3
,269,397,269,1,397,1102,110205,1102050000,11,ACEH TENGGARA,BADAR,ACEH,BADAR,3
,269,416,269,1,416,1102,110206,1102060000,11,ACEH TENGGARA,BABUL MAKMUR,ACEH,BABUL MAKMUR,3
,269,438,269,1,438,1102,110207,1102070000,11,ACEH TENGGARA,DARUL HASANAH,ACEH,DARUL HASANAH,3
,269,467,269,1,467,1102,110208,1102080000,11,ACEH TENGGARA,LAWE BULAN,ACEH,LAWE BULAN,3
,269,492,269,1,492,1102,110209,1102090000,11,ACEH TENGGARA,BUKIT TUSAM,ACEH,BUKIT TUSAM,3
