kode_kabkota,nama_kabkota,id_provinsi,nama_provinsi
2,ACEH SELATAN,1,ACEH
269,ACEH TENGGARA,1,ACEH
671,ACEH TIMUR,1,ACEH
1207,ACEH TENGAH,1,ACEH
1492,ACEH BARAT,1,ACEH
1824,ACEH BESAR,1,ACEH
2452,PIDIE,1,ACEH
3205,ACEH UTARA,1,ACEH
4086,SIMEULUE,1,ACEH
4233,ACEH SINGKIL,1,ACEH
4362,BIREUEN,1,ACEH
4989,ACEH BARAT DAYA,1,ACEH
5138,GAYO LUES,1,ACEH
5286,ACEH JAYA,1,ACEH
5463,NAGAN RAYA,1,ACEH
5694,ACEH TAMIANG,1,ACEH
5920,BENER MERIAH,1,ACEH
6166,PIDIE JAYA,1,ACEH
6397,KOTA BANDA ACEH,1,ACEH
6497,KOTA SABANG,1,ACEH
6518,KOTA LHOKSEUMAWE,1,ACEH
6591,KOTA LANGSA,1,ACEH
6648,KOTA SUBULUSSALAM,1,ACEH
6729,LABUHANBATU SELATAN,6728,SUMATERA UTARA
6789,LABUHANBATU UTARA,6728,SUMATERA UTARA
6888,NIAS UTARA,6728,SUMATERA UTARA
7013,NIAS BARAT,6728,SUMATERA UTARA
7132,KOTA GUNUNGSITOLI,6728,SUMATERA UTARA
7240,TAPANULI TENGAH,6728,SUMATERA UTARA
7438,TAPANULI UTARA,6728,SUMATERA UTARA
7697,TAPANULI SELATAN,6728,SUMATERA UTARA
7960,NIAS,6728,SUMATERA UTARA
8094,LANGKAT,6728,SUMATERA UTARA
8408,KARO,6728,SUMATERA UTARA
8688,DELI SERDANG,6728,SUMATERA UTARA
9114,SIMALUNGUN,6728,SUMATERA UTARA
9497,ASAHAN,6728,SUMATERA UTARA
9727,LABUHANBATU,6728,SUMATERA UTARA
9835,DAIRI,6728,SUMATERA UTARA
10020,TOBA SAMOSIR,6728,SUMATERA UTARA
10227,MANDAILING NATAL,6728,SUMATERA UTARA
10646,NIAS SELATAN,6728,SUMATERA UTARA
11022,PAKPAK BHARAT,6728,SUMATERA UTARA
11083,HUMBANG HASUNDUTAN,6728,SUMATERA UTARA
11247,SAMOSIR,6728,SUMATERA UTARA
11374,SERDANG BEDAGAI,6728,SUMATERA UTARA
11635,BATU BARA,6728,SUMATERA UTARA
11743,KOTA MEDAN,6728,SUMATERA UTARA
11916,KOTA PEMATANGSIANTAR,6728,SUMATERA UTARA
11978,KOTA SIBOLGA,6728,SUMATERA UTARA
12000,KOTA TANJUNG BALAI,6728,SUMATERA UTARA
12038,KOTA BINJAI,6728,SUMATERA UTARA
12081,KOTA TEBING TINGGI,6728,SUMATERA UTARA
12122,KOTA PADANG SIDIMPUAN,6728,SUMATERA UTARA
12208,PADANG LAWAS UTARA,6728,SUMATERA UTARA
12606,PADANG LAWAS,6728,SUMATERA UTARA
13509,PASAMAN,12920,SUMATERA BARAT
12921,PESISIR SELATAN,12920,SUMATERA BARAT
13010,SOLOK,12920,SUMATERA BARAT
13099,SIJUNJUNG,12920,SUMATERA BARAT
13163,TANAH DATAR,12920,SUMATERA BARAT
13253,PADANG PARIAMAN,12920,SUMATERA BARAT
13317,AGAM,12920,SUMATERA BARAT
13416,LIMA PULUH KOTA,12920,SUMATERA BARAT
13554,KEPULAUAN MENTAWAI,12920,SUMATERA BARAT
13608,DHARMASRAYA,12920,SUMATERA BARAT
13634,SOLOK SELATAN,12920,SUMATERA BARAT
13681,PASAMAN BARAT,12920,SUMATERA BARAT
13712,KOTA PADANG,12920,SUMATERA BARAT
13828,KOTA SOLOK,12920,SUMATERA BARAT
13844,KOTA SAWAHLUNTO,12920,SUMATERA BARAT
13886,KOTA PADANG PANJANG,12920,SUMATERA BARAT
13905,KOTA BUKITTINGGI,12920,SUMATERA BARAT
13933,KOTA PAYAKUMBUH,12920,SUMATERA BARAT
14010,KOTA PARIAMAN,12920,SUMATERA BARAT
14087,KEPULAUAN MERANTI,14086,RIAU
14166,KAMPAR,14086,RIAU
14414,INDRAGIRI HULU,14086,RIAU
14630,BENGKALIS,14086,RIAU
14741,INDRAGIRI HILIR,14086,RIAU
14955,PELALAWAN,14086,RIAU
15087,ROKAN HULU,14086,RIAU
15254,ROKAN HILIR,14086,RIAU
15412,SIAK,14086,RIAU
15553,KUANTAN SINGINGI,14086,RIAU
15775,KOTA PEKANBARU,14086,RIAU
15846,KOTA DUMAI,14086,RIAU
15886,KOTA SUNGAI PENUH,15885,JAMBI
15961,KERINCI,15885,JAMBI
16183,MERANGIN,15885,JAMBI
16420,SAROLANGUN,15885,JAMBI
16576,BATANGHARI,15885,JAMBI
16699,MUARO JAMBI,15885,JAMBI
16862,TANJUNG JABUNG BARAT,15885,JAMBI
16946,TANJUNG JABUNG TIMUR,15885,JAMBI
17051,BUNGO,15885,JAMBI
17215,TEBO,15885,JAMBI
17333,KOTA JAMBI,15885,JAMBI
17405,OGAN KOMERING ULU,17404,SUMATERA SELATAN
17570,OGAN KOMERING ILIR,17404,SUMATERA SELATAN
17895,MUARA ENIM,17404,SUMATERA SELATAN
18244,LAHAT,17404,SUMATERA SELATAN
18643,MUSI RAWAS,17404,SUMATERA SELATAN
18942,MUSI BANYUASIN,17404,SUMATERA SELATAN
19172,BANYUASIN,17404,SUMATERA SELATAN
19492,OGAN KOMERING ULU TIMUR,17404,SUMATERA SELATAN
19808,OGAN KOMERING ULU SELATAN,17404,SUMATERA SELATAN
20087,OGAN ILIR,17404,SUMATERA SELATAN
20345,EMPAT LAWANG,17404,SUMATERA SELATAN
20512,KOTA PALEMBANG,17404,SUMATERA SELATAN
20636,KOTA PAGAR ALAM,17404,SUMATERA SELATAN
20677,KOTA LUBUKLINGGAU,17404,SUMATERA SELATAN
20758,KOTA PRABUMULIH,17404,SUMATERA SELATAN
928069,PENUKAL ABAB LEMATANG ILIR,17404,SUMATERA SELATAN
928070,MUSI RAWAS UTARA,17404,SUMATERA SELATAN
22052,LEBONG,20802,BENGKULU
21492,KAUR,20802,BENGKULU
20803,BENGKULU TENGAH,20802,BENGKULU
20923,BENGKULU SELATAN,20802,BENGKULU
21093,REJANG LEBONG,20802,BENGKULU
21265,BENGKULU UTARA,20802,BENGKULU
21702,SELUMA,20802,BENGKULU
21885,MUKOMUKO,20802,BENGKULU
22135,KEPAHIANG,20802,BENGKULU
22252,KOTA BENGKULU,20802,BENGKULU
22329,PRINGSEWU,22328,LAMPUNG
22439,MESUJI,22328,LAMPUNG
22522,TULANG BAWANG BARAT,22328,LAMPUNG
22605,LAMPUNG SELATAN,22328,LAMPUNG
22875,LAMPUNG TENGAH,22328,LAMPUNG
23189,LAMPUNG UTARA,22328,LAMPUNG
23460,LAMPUNG BARAT,22328,LAMPUNG
23737,TULANG BAWANG,22328,LAMPUNG
23903,TANGGAMUS,22328,LAMPUNG
24202,LAMPUNG TIMUR,22328,LAMPUNG
24484,WAY KANAN,22328,LAMPUNG
24709,KOTA BANDAR LAMPUNG,22328,LAMPUNG
24822,KOTA METRO,22328,LAMPUNG
24850,PESAWARAN,22328,LAMPUNG
928071,PESISIR BARAT,22328,LAMPUNG
25406,KOTA TANJUNGPINANG,25405,KEPULAUAN RIAU
25429,KEPULAUAN ANAMBAS,25405,KEPULAUAN RIAU
25471,BINTAN,25405,KEPULAUAN RIAU
25533,KARIMUN,25405,KEPULAUAN RIAU
25597,NATUNA,25405,KEPULAUAN RIAU
25683,LINGGA,25405,KEPULAUAN RIAU
25746,KOTA BATAM,25405,KEPULAUAN RIAU
26142,BOGOR,26141,JAWA BARAT
26611,SUKABUMI,26141,JAWA BARAT
27026,CIANJUR,26141,JAWA BARAT
27407,BANDUNG,26141,JAWA BARAT
27714,GARUT,26141,JAWA BARAT
28182,TASIKMALAYA,26141,JAWA BARAT
28573,CIAMIS,26141,JAWA BARAT
28960,KUNINGAN,26141,JAWA BARAT
29369,CIREBON,26141,JAWA BARAT
29834,MAJALENGKA,26141,JAWA BARAT
30197,SUMEDANG,26141,JAWA BARAT
30503,INDRAMAYU,26141,JAWA BARAT
30851,SUBANG,26141,JAWA BARAT
31135,PURWAKARTA,26141,JAWA BARAT
31345,KARAWANG,26141,JAWA BARAT
31685,BEKASI,26141,JAWA BARAT
31896,BANDUNG BARAT,26141,JAWA BARAT
32077,KOTA BOGOR,26141,JAWA BARAT
32152,KOTA SUKABUMI,26141,JAWA BARAT
32193,KOTA BANDUNG,26141,JAWA BARAT
32375,KOTA CIREBON,26141,JAWA BARAT
32403,KOTA BEKASI,26141,JAWA BARAT
32472,KOTA DEPOK,26141,JAWA BARAT
32547,KOTA CIMAHI,26141,JAWA BARAT
32566,KOTA TASIKMALAYA,26141,JAWA BARAT
32646,KOTA BANJAR,26141,JAWA BARAT
927964,PANGANDARAN,26141,JAWA BARAT
24994,BANGKA,24993,KEPULAUAN BANGKA BELITUNG
25072,BELITUNG,24993,KEPULAUAN BANGKA BELITUNG
25120,BANGKA SELATAN,24993,KEPULAUAN BANGKA BELITUNG
25181,BANGKA TENGAH,24993,KEPULAUAN BANGKA BELITUNG
25245,BANGKA BARAT,24993,KEPULAUAN BANGKA BELITUNG
25316,BELITUNG TIMUR,24993,KEPULAUAN BANGKA BELITUNG
25363,KOTA PANGKALPINANG,24993,KEPULAUAN BANGKA BELITUNG
25824,KEPULAUAN SERIBU,25823,DKI JAKARTA
25833,JAKARTA PUSAT,25823,DKI JAKARTA
25886,JAKARTA UTARA,25823,DKI JAKARTA
25924,JAKARTA BARAT,25823,DKI JAKARTA
25989,JAKARTA SELATAN,25823,DKI JAKARTA
26065,JAKARTA TIMUR,25823,DKI JAKARTA
32677,CILACAP,32676,JAWA TENGAH
32986,BANYUMAS,32676,JAWA TENGAH
33345,PURBALINGGA,32676,JAWA TENGAH
33603,BANJARNEGARA,32676,JAWA TENGAH
33902,KEBUMEN,32676,JAWA TENGAH
34389,PURWOREJO,32676,JAWA TENGAH
34900,WONOSOBO,32676,JAWA TENGAH
35181,MAGELANG,32676,JAWA TENGAH
35575,BOYOLALI,32676,JAWA TENGAH
35862,KLATEN,32676,JAWA TENGAH
36290,SUKOHARJO,32676,JAWA TENGAH
36470,WONOGIRI,32676,JAWA TENGAH
36790,KARANGANYAR,32676,JAWA TENGAH
36985,SRAGEN,32676,JAWA TENGAH
37214,GROBOGAN,32676,JAWA TENGAH
37514,BLORA,32676,JAWA TENGAH
37826,REMBANG,32676,JAWA TENGAH
38136,PATI,32676,JAWA TENGAH
38564,KUDUS,32676,JAWA TENGAH
38706,JEPARA,32676,JAWA TENGAH
38917,DEMAK,32676,JAWA TENGAH
39181,SEMARANG,32676,JAWA TENGAH
39436,TEMANGGUNG,32676,JAWA TENGAH
39746,KENDAL,32676,JAWA TENGAH
40053,BATANG,32676,JAWA TENGAH
40317,PEKALONGAN,32676,JAWA TENGAH
40622,PEMALANG,32676,JAWA TENGAH
40859,TEGAL,32676,JAWA TENGAH
41165,BREBES,32676,JAWA TENGAH
41480,KOTA MAGELANG,32676,JAWA TENGAH
41501,KOTA SURAKARTA,32676,JAWA TENGAH
41558,KOTA SALATIGA,32676,JAWA TENGAH
41585,KOTA SEMARANG,32676,JAWA TENGAH
41779,KOTA PEKALONGAN,32676,JAWA TENGAH
41831,KOTA TEGAL,32676,JAWA TENGAH
41864,KULON PROGO,41863,DAERAH ISTIMEWA YOGYAKARTA
41965,BANTUL,41863,DAERAH ISTIMEWA YOGYAKARTA
42058,GUNUNGKIDUL,41863,DAERAH ISTIMEWA YOGYAKARTA
42221,SLEMAN,41863,DAERAH ISTIMEWA YOGYAKARTA
42325,KOTA YOGYAKARTA,41863,DAERAH ISTIMEWA YOGYAKARTA
51145,KOTA BLITAR,42385,JAWA TIMUR
42386,PACITAN,42385,JAWA TIMUR
42570,PONOROGO,42385,JAWA TIMUR
42897,TRENGGALEK,42385,JAWA TIMUR
43069,TULUNGAGUNG,42385,JAWA TIMUR
43360,BLITAR,42385,JAWA TIMUR
43630,KEDIRI,42385,JAWA TIMUR
43993,MALANG,42385,JAWA TIMUR
44417,LUMAJANG,42385,JAWA TIMUR
44643,JEMBER,42385,JAWA TIMUR
44923,BANYUWANGI,42385,JAWA TIMUR
45165,BONDOWOSO,42385,JAWA TIMUR
45407,SITUBONDO,42385,JAWA TIMUR
45561,PROBOLINGGO,42385,JAWA TIMUR
45916,PASURUAN,42385,JAWA TIMUR
46306,SIDOARJO,42385,JAWA TIMUR
46678,MOJOKERTO,42385,JAWA TIMUR
47001,JOMBANG,42385,JAWA TIMUR
47329,NGANJUK,42385,JAWA TIMUR
47634,MADIUN,42385,JAWA TIMUR
47856,MAGETAN,42385,JAWA TIMUR
48110,NGAWI,42385,JAWA TIMUR
48347,BOJONEGORO,42385,JAWA TIMUR
48805,TUBAN,42385,JAWA TIMUR
49154,LAMONGAN,42385,JAWA TIMUR
49656,GRESIK,42385,JAWA TIMUR
50031,BANGKALAN,42385,JAWA TIMUR
50331,SAMPANG,42385,JAWA TIMUR
50532,PAMEKASAN,42385,JAWA TIMUR
50735,SUMENEP,42385,JAWA TIMUR
51095,KOTA KEDIRI,42385,JAWA TIMUR
51170,KOTA MALANG,42385,JAWA TIMUR
51233,KOTA PROBOLINGGO,42385,JAWA TIMUR
51268,KOTA PASURUAN,42385,JAWA TIMUR
51306,KOTA MOJOKERTO,42385,JAWA TIMUR
51327,KOTA MADIUN,42385,JAWA TIMUR
51358,KOTA SURABAYA,42385,JAWA TIMUR
51550,KOTA BATU,42385,JAWA TIMUR
51579,PANDEGLANG,51578,BANTEN
51913,LEBAK,51578,BANTEN
52287,TANGERANG,51578,BANTEN
52593,SERANG,51578,BANTEN
52936,KOTA TANGERANG,51578,BANTEN
53054,KOTA CILEGON,51578,BANTEN
53106,KOTA SERANG,51578,BANTEN
53179,KOTA TANGERANG SELATAN,51578,BANTEN
53242,JEMBRANA,53241,BALI
53299,TABANAN,53241,BALI
53439,BADUNG,53241,BALI
